threshold,top_k,feat_version,param_idx,mean_f1,mean_acc
0.6,5,Version4,2,0.8493409600316962,0.8454617509577789
0.6,3,Version4,2,0.8488074189776518,0.8449385827592966
0.4,3,Version4,2,0.8484110333794475,0.8447894417547624
0.5,3,Version4,2,0.8480085035434974,0.8445974360827497
0.4,5,Version4,2,0.847964921705793,0.8443119778187498
0.6,3,Version2,0,0.8476966258939879,0.8446082713290256
0.5,5,Version4,2,0.8474601774291186,0.843986019939894
0.4,3,Version4,0,0.847357330978763,0.8444995072570215
0.6,3,Version4,0,0.8473388377354449,0.8448347077449769
0.6,5,Version2,0,0.8473322265690735,0.8441294555002337
0.6,5,Version3,1,0.8471360967984112,0.8442618960864682
0.6,5,Version4,0,0.8471287804963372,0.8444534742775165
0.5,5,Version3,2,0.8471221994165482,0.843307089366854
0.4,3,Version3,2,0.8470511836872905,0.843122774547488
0.5,5,Version1,2,0.8470328159402414,0.8433187224768881
0.6,3,Version1,1,0.8470163406138645,0.8441281730573408
0.6,3,Version2,2,0.8469715267271898,0.8434614921171718
0.4,3,Version3,0,0.8469186500503577,0.8435431248625577
0.4,3,Version1,0,0.8468703394470344,0.8436008218265643
0.6,3,Version1,2,0.8468378026646699,0.8431242715110756
0.4,5,Version4,0,0.8467258067584563,0.844025745609389
0.6,5,Version1,2,0.846716285652416,0.8430233996853067
0.6,5,Version1,0,0.846715241195616,0.8436088020454378
0.5,3,Version3,1,0.8467070173664194,0.84354467661901
0.4,5,Version1,2,0.8466821180141981,0.8427353564523443
0.6,5,Version1,1,0.8466529185570313,0.8439311093384381
0.4,5,Version1,0,0.8465807683991265,0.8433185172175695
0.4,5,Version2,0,0.8464886173223511,0.8431273464548182
0.5,5,Version2,2,0.8464868552945776,0.8425171224769119
0.5,3,Version2,1,0.8464827224626935,0.8433097221726109
0.6,5,Version2,2,0.846468797423966,0.8428910486016257
0.5,3,Version4,0,0.846443662575963,0.8439798229604945
0.6,3,Version2,1,0.8464304911723566,0.843500718550511
0.5,3,Version1,2,0.8464267405689994,0.8427386034756328
0.5,3,Version3,2,0.8464064797993966,0.8428380022562113
0.6,3,Version3,1,0.8464019215849469,0.8435965176723685
0.4,3,Version1,2,0.8464019090687067,0.8421751354954579
0.5,3,Version2,0,0.8463957213976698,0.8428429885479096
0.4,3,Version2,0,0.8463927868259671,0.843176621061966
0.6,3,Version1,0,0.8462842336873656,0.843131925318219
0.5,5,Version2,0,0.8462639126752171,0.8426507444368049
0.4,5,Version3,2,0.8462619297123088,0.8424946031934674
0.4,3,Version1,1,0.8462572141026913,0.8430762793468208
0.4,5,Version2,2,0.846249264316131,0.8424536151337462
0.4,5,Version3,0,0.8462401837188438,0.8428300259030683
0.4,3,Version2,1,0.8462327320486791,0.8430810989546188
0.5,3,Version2,2,0.8461978513771491,0.8425536227362107
0.5,3,Version1,1,0.846191786477212,0.8432289297321326
0.5,3,Version3,0,0.8461569663233866,0.8428842497564109
0.5,5,Version3,1,0.8461372427908763,0.8430655768196372
0.5,5,Version4,0,0.8461189283947894,0.8438809820746671
0.5,3,Version1,0,0.8460923624788455,0.8428923619189863
0.5,5,Version2,1,0.8460682920003448,0.8427899661208924
0.6,3,Version3,2,0.8460574515253896,0.8425527639085516
0.5,5,Version1,1,0.8460113691224859,0.8430833552065462
0.4,5,Version1,1,0.84599636241334,0.842936934980407
0.6,5,Version2,1,0.8458891176966992,0.8429852002934419
0.4,3,Version2,2,0.8458752710233078,0.8420797731159404
0.5,5,Version3,0,0.845863606798915,0.8424578436670199
0.4,3,Version3,1,0.845761438901697,0.8426904338361867
0.4,5,Version3,1,0.8456053358820217,0.8425921523750258
0.6,5,Version3,2,0.8455971046605054,0.8422107406569843
0.4,5,Version2,1,0.8455595291460796,0.8424082411182271
0.5,5,Version1,0,0.8455593397259535,0.8423180386398685
0.6,3,Version3,0,0.8455457090759679,0.8426008039096009
0.6,5,Version3,0,0.8455200688134727,0.8422671335650062
0.6,3,Version4,1,0.8452197376911974,0.8432652671732612
0.5,5,Version4,1,0.8447488524703969,0.8429762864013778
0.4,3,Version4,1,0.8444531671265574,0.8425992120173049
0.6,5,Version4,1,0.8442276914474334,0.8424580219176011
0.5,3,Version4,1,0.8438465876455059,0.8421674816883143
0.4,5,Version4,1,0.8436866045450445,0.8418385885103685
0.4,5,Baseline,2,0.5823557975317841,0.5428766617247508
0.4,3,Baseline,2,0.5823557975317841,0.5428766617247508
0.5,5,Baseline,2,0.5823557975317841,0.5428766617247508
0.5,3,Baseline,2,0.5823557975317841,0.5428766617247508
0.6,3,Baseline,2,0.5823557975317841,0.5428766617247508
0.6,5,Baseline,2,0.5823557975317841,0.5428766617247508
0.6,5,Baseline,0,0.5569627737336447,0.5294591865628742
0.6,3,Baseline,0,0.5569627737336447,0.5294591865628742
0.4,3,Baseline,0,0.5569627737336447,0.5294591865628742
0.4,5,Baseline,0,0.5569627737336447,0.5294591865628742
0.5,3,Baseline,0,0.5569627737336447,0.5294591865628742
0.5,5,Baseline,0,0.5569627737336447,0.5294591865628742
0.4,5,Baseline,1,0.5447804660362197,0.5234826807297923
0.4,3,Baseline,1,0.5447804660362197,0.5234826807297923
0.5,5,Baseline,1,0.5447804660362197,0.5234826807297923
0.5,3,Baseline,1,0.5447804660362197,0.5234826807297923
0.6,3,Baseline,1,0.5447804660362197,0.5234826807297923
0.6,5,Baseline,1,0.5447804660362197,0.5234826807297923
